marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","","","","","","","3","720","42.690000"
"","","","3889538","07/04/2026 00:00:00","900","42.690000","1","900","42.690000"
"","","","","","","","2","900","42.690000"
"","","","","","","","3","900","42.690000"
"","","","3889539","07/05/2026 00:00:00","900","42.690000","1","900","42.690000"
"","","","","","","","2","900","42.690000"
"","","","","","","","3","900","42.690000"
"","","","3889540","07/06/2026 00:00:00","720","42.690000","1","720","42.690000"
"","","","","","","","2","720","42.690000"
"","","","","","","","3","720","42.690000"
"","","Avocado Hass Class 1 Coles Returnable Crates Im Perfect 1kg Net","3889534","06/30/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","","","","","4","72","48.000000"
"","","","","","","","5","72","48.000000"
"","","","","","","","6","72","48.000000"
"","","","","","","","7","72","48.000000"
"","","","3889535","07/01/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","3889536","07/02/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","","","","","4","72","48.000000"
"","","","","","","","5","72","48.000000"
"","","","3889537","07/03/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","","3889538","07/04/2026 00:00:00","72","48.000000","1","72","48.000000"
"","","","","","","","2","72","48.000000"
"","","","","","","","3","72","48.000000"
"","","Avocado Hass Premium 16 Tray","3889534","06/30/2026 00:00:00","480","30.500000","4","480","30.500000"
"","","","","","","","5","480","30.500000"
"","","","","","","","6","480","30.500000"
"","","","","","","","7","480","30.500000"
"","","","3889535","07/01/2026 00:00:00","244","30.500000","3","244","30.500000"
"","","","3889536","07/02/2026 00:00:00","200","30.500000","3","200","30.500000"
"","","","","","","","4","200","30.500000"
"","","","","","","","5","200","30.500000"
